280,10,1
1345,1,-1
161,1,1
80,31,1
134,52,-1
297,72,-1
47,25,1
432,2,1
679,113,-1
285,36,-1
33,9,1
1500,26,1
36,17,1
49,6,1
2,1,1
240,33,1
34,14,-1
778,184,1
605,10,1
160,23,1
34,14,-1
369,32,1
93,22,-1
252,16,-1
1972,189,1
22,9,1
186,43,1
682,6,1
200,41,-1
42,26,1
389,10,-1
1243,154,-1
62,48,1
1058,187,-1
113,6,1
13,18,1
11,1,-1
24,1,-1
11,1,-1
44,1,-1
390,16,1
89,2,1
5,5,1
967,43,1
645,203,1
1632,251,1
264,96,1
4,1,1
223,30,1
37,1,-1
186,43,1
133,2,-1
422,22,1
205,6,1
69,24,1
134,52,1
154,106,1
384,1,-1
2266,224,1
32,21,-1
62,2,-1
152,5,1
150,26,-1
104,48,1
90,5,1
424,56,-1
712,13,1
109,32,1
56,4,1
57,5,1
271,51,1
108,6,1
1,1,1
638,10,1
6,1,1
469,1,1
115,54,1
100,9,1
232,98,-1
149,1,1
105,9,-1
416,50,-1
17,53,1
6,1,1
274,5,1
285,36,-1
197,31,1
135,6,1
91,5,-1
51,2,1
1,1,-1
297,57,1
156,11,1
163,24,-1
79,92,-1
32,2,-1
458,118,1
2,1,-1
4,1,-1
1084,75,1
2,1,1
2306,52,1
10,1,1
96,1,1
2031,3,-1
302,348,-1
761,130,-1
92,2,-1
1,1,1
483,27,1
15,14,-1
274,5,1
447,14,1
1107,145,1
13,2,1
127,13,1
5,1,-1
124,131,-1
579,90,-1
10,1,1
340,96,-1
35,4,1
28,1,1
234,228,-1
530,12,1
173,36,-1
4,1,-1
58,138,-1
385,19,1
424,56,-1
9,29,1
164,13,-1
1411,80,1
1283,46,1
81,10,1
34,14,1
480,5,1
437,45,1
469,1,1
1406,382,-1
263,1,-1
454,44,1
466,36,-1
269,32,-1
3,1,-1
767,43,-1
55,2,1
1494,493,1
582,33,-1
11,1,-1
147,28,1
1381,227,1
9,29,-1
764,132,-1
356,19,1
237,117,1
959,394,1
34,14,-1
73,10,1
122,8,1
239,19,1
33,11,1
600,5,1
51,2,1
2023,329,1
98,21,1
23,2,1
250,27,1
175,1,-1
168,1,1
15,14,-1
64,3,1
38,362,1
14,32,1
264,32,-1
1765,111,1
220,72,1
42,5,1
117,8,1
265,11,1
182,14,1
22,9,1
111,5,1
106,11,1
954,116,-1
102,24,1
485,14,1
5,1,-1
350,51,1
5,1,-1
524,59,-1
5,1,1
5,5,1
21,161,-1
202,6,-1
214,195,-1
281,54,1
473,19,1
206,34,-1
1205,327,-1
171,10,1
9,2,1
42,5,1
113,6,-1
20,4,-1
41,16,1
157,3,1
14,2,-1
33,9,1
829,2,1
172,17,-1
267,3,1
382,228,-1
327,1,1
97,1,1
3,1,-1
336,37,-1
1177,14,1
22,9,1
617,14,-1
46,12,1
6,1,1
1,1,1
212,37,1
18,4,-1
50,2,1
440,13,1
909,126,1
4,1,-1
207,64,1
156,11,1
236,27,1
2,1,1
56,4,1
6,1,-1
913,333,-1
364,1,1
181,10,-1
19,9,1
91,5,1
767,43,1
8,20,1
3067,39,1
25,1,1
17,15,1
200,52,1
906,53,-1
4,1,1
481,59,1
47,17,-1
116,49,-1
122,8,-1
410,28,1
479,52,-1
36,7,-1
256,250,-1
333,102,1
58,26,-1
555,40,1
36,25,1
13,2,1
15,14,1
9,4,1
2,1,-1
61,26,1
56,7,1
239,19,1
89,4,-1
24,1,1
19,9,1
68,7,1
164,13,1
1225,80,-1
18,2,1
27,7,1
62,160,1
128,123,1
268,112,1
31,18,1
44,1,1
6,1,1
268,26,-1
120,112,-1
168,1,1
742,41,-1
32,17,1
4,1,-1
297,57,1
568,1,1
642,7,-1
94,373,-1
673,194,1
400,39,-1
55,2,-1
